Iteration,ExplainedVariance,MaxReturn,MinReturn,dLoss,LossBefore,StdReturn,LossAfter,MeanKL,Perplexity,AverageDiscountedReturn,AverageReturn,Entropy,NumTrajs,MeanKLBefore
86,0.588817411953,1823.75,-8020.0,0.0,-0.00495469092235,4640.38825154,-0.00495469092235,0.0178811765122,4.56884625746,-526.59471195,-4738.75,1.51926071296,3,0.0178811765122
87,-0.371810646862,2898.75,-8020.0,0.00990416798444,0.000740198639518,4709.2062244,-0.00916396934493,0.00986762246017,4.54644659961,-378.131398282,-1486.66666667,1.51434596073,3,0.00930277069576
88,-3.19951523884,-3907.5,-7407.5,0.0,0.000223901315828,1428.88116682,0.000223901315828,0.0179388020607,4.27122194181,-678.430463487,-5653.33333333,1.45189995534,3,0.0179388020607
89,-0.179574575546,6436.25,-8020.0,0.0,-0.0102606144749,6337.134961,-0.0102606144749,0.0140320751925,4.40095686022,385.133531858,840.416666667,1.48182198551,3,0.0140320751925
90,-5.386660329,-5620.0,-8020.0,0.0106509515515,0.00179619937221,1131.3708499,-0.00885475217933,0.00973162474938,4.35464907701,-866.172902072,-7220.0,1.47124402773,3,0.00834866448551
91,0.768066095728,-7732.5,-8020.0,0.0098694206514,0.0077134130543,135.528799727,-0.0021560075971,0.00998845659182,4.40671252985,-908.049240442,-7924.16666667,1.48312895338,3,0.00912137839146
92,0.989069567998,-8020.0,-8020.0,0.00498520014019,0.000119770903804,0.0,-0.00486542923638,0.00851095885283,4.13780491388,-910.247233625,-8020.0,1.42016543319,3,0.00276316748394
93,0.818214198188,-8020.0,-8020.0,0.0,-0.00229657408574,0.0,-0.00229657408574,0.0136485617981,4.16813509476,-910.247233625,-8020.0,1.4274687163,3,0.0136485617981
94,-0.159957174538,-1201.25,-8020.0,0.0,-0.00706318834679,2799.13646158,-0.00706318834679,0.0181313535154,4.5577863389,-747.447731555,-4403.33333333,1.51683705366,3,0.0181313535154
95,-0.0337275395326,-432.5,-6257.5,0.0,0.00089077027595,2378.16309832,0.00089077027595,0.012815520915,4.54449503825,-669.489768095,-3361.66666667,1.51391661876,3,0.012815520915
96,0.519817347289,-2713.75,-8020.0,0.0277211766959,0.0034395975435,2501.39023845,-0.0242815791524,0.00808031692224,4.1521461895,-657.953596072,-6251.25,1.42362535466,3,0.00353527112023
97,0.971107614832,-8020.0,-8020.0,0.0191824264201,0.000915708627479,0.0,-0.0182667177926,0.00678949061451,4.07628653062,-910.247233625,-8020.0,1.4051864099,3,0.00199743382425
98,0.993571988323,-8020.0,-8020.0,0.0159107177517,0.00467398389683,0.0,-0.0112367338548,0.00776355288418,4.03122107692,-910.247233625,-8020.0,1.39406932682,3,0.002770127289
99,0.994148947895,-8020.0,-8020.0,0.0142439271038,-0.00550206940684,0.0,-0.0197459965106,0.00847373684712,3.93256622775,-910.247233625,-8020.0,1.36929219694,3,0.00363629804259
100,0.0743793334053,1030.0,-8020.0,0.00770783280773,-0.000761689127285,3717.9288309,-0.00846952193501,0.00999860639515,4.17820593609,-473.844705197,-3788.75,1.42988195251,3,0.00994950531211
101,0.693228494471,6786.25,-8020.0,0.0135859645292,-0.0139039333133,6979.73318596,-0.0274898978424,0.00922712690762,4.12051478629,-379.476656239,-3084.58333333,1.41597810369,3,0.00790244531624
102,-0.147684552852,-8020.0,-8020.0,0.0219890665828,0.00526305341058,0.0,-0.0167260131722,0.00999724876811,4.08966176083,-910.247233625,-8020.0,1.40846226757,3,0.0092691069967
103,0.993601258135,-8020.0,-8020.0,0.0131184486055,-0.0016278049138,0.0,-0.0147462535193,0.0091912789324,4.11145811062,-910.247233625,-8020.0,1.41377773703,3,0.0064853304026
104,0.991865127387,-8020.0,-8020.0,0.0164106909266,0.00148846664462,0.0,-0.0149222242819,0.00915643966879,3.95223147561,-910.247233625,-8020.0,1.37428034993,3,0.00436933230043
105,-0.0895012579773,461.25,-8020.0,0.0,-0.00298316608522,3469.03840142,-0.00298316608522,0.0110165563568,4.47138419741,-344.161727761,-3628.33333333,1.49769802454,3,0.0110165563568
106,0.028348975368,-8020.0,-8020.0,0.0168626199271,-0.00573880013936,0.0,-0.0226014200664,0.0075700628561,3.98194203086,-910.247233625,-8020.0,1.38176964774,3,0.00516604329205
107,0.745041906867,-4520.0,-8020.0,0.0143274554585,-0.000503975420867,1504.62250711,-0.0148314308794,0.00982137843648,4.26496975749,-696.590494952,-6603.33333333,1.45043509006,3,0.00812555642794
